clause_id,source_doc,domain,raw_text,word_count,pattern_label
C00001,academic_freedom_policy,academic,"Scope of Academic Freedom Academic staff and students have the right to question and test received wisdom, put forward new ideas, and express controversial or unpopular opinions within the law. This right is protected provided it does not constitute harassment, incitement, or unlawful discrimination",44,numbered_clause
C00002,academic_freedom_policy,academic,External Speakers Invitations to external speakers must be submitted to the university for approval at least 14 days before the event. Events featuring speakers who may express views that risk public order or constitute hate speech require enhanced risk assessment. Unauthorized events may be cancelled without notice,47,numbered_clause
C00003,academic_freedom_policy,academic,"Protest and Demonstration Peaceful protest on university premises is permitted within designated areas and requires advance notification to security. Protests that disrupt teaching, research, or administrative activities will be dispersed and participants may face disciplinary action",36,numbered_clause
C00004,academic_freedom_policy,academic,"Social Media and Public Comment Staff and students may comment publicly on matters of academic and public interest. However, public statements that misrepresent the university's position, disclose confidential information, or constitute harassment are not protected by academic freedom principles",39,numbered_clause
C00005,academic_freedom_policy,academic,Retaliation Retaliation against any member of the university community for exercising legitimate academic freedom or freedom of expression is prohibited and constitutes misconduct,23,numbered_clause
C00006,academic_misconduct_procedures,academic,"Initiation of Investigation An academic misconduct investigation is initiated upon receipt of a formal report from a faculty member, invigilator, or another student. All reports must be submitted in writing within 10 working days of the alleged incident. Late reports require justification and may not be accepted",47,numbered_clause
C00007,academic_misconduct_procedures,academic,Notification The accused student will be notified in writing within 5 working days of the investigation being opened. Failure to respond to notification within 10 working days will result in the investigation proceeding in the student's absence,37,numbered_clause
C00008,academic_misconduct_procedures,academic,"Evidence Gathering The investigating officer will gather all relevant evidence including submitted work, examination scripts, digital logs, and witness statements. Destruction or tampering with evidence constitutes a further act of misconduct and may result in enhanced penalties",37,numbered_clause
C00009,academic_misconduct_procedures,academic,"Hearing A formal hearing will be convened within 20 working days. The student has the right to attend, present their case, and be accompanied by a student union representative. Refusal to attend without valid reason is treated as an admission",40,numbered_clause
C00010,anu_academic_integrity,academic,ANU is a world-leading university in Australia s capital. Excellence is embedded in our approach to research and education,19,paragraph
C00011,anu_academic_integrity,academic,Your donation will make a real difference to our community of researchers and students,14,paragraph
C00012,anu_academic_integrity,academic,ANU graduates become lifelong members of our community. See what&#039;s on offer,12,paragraph
C00013,anu_academic_integrity,academic,"ANU has a huge variety of support services, programs and activities to enhance your student experience",16,paragraph
C00014,anu_academic_integrity,academic,Academic integrity is a core part of our culture as a community of scholars,14,spacy_sentence
C00015,anu_academic_integrity,academic,This means that all members of the community commit to honest and responsible scholarly practice and to upholding these values with respect and fairness,24,spacy_sentence
C00016,anu_academic_integrity,academic,It is imperative that you understand the academic integrity rules that,11,paragraph
C00017,anu_academic_integrity,academic,Using the work of others in your assignments is a required practice in the,14,paragraph
C00018,anu_academic_integrity,academic,The purpose of referencing is to show where the information you use comes from,14,paragraph
C00019,anu_academic_integrity,academic,Turnitin is an online text matching tool accessed through Canvas designed to,12,paragraph
C00020,anu_academic_integrity,academic,"window.dataLayer = window.dataLayer || []; window.dataLayer.push({""drupalLanguage"":""en"",""drupalCountry"":""AU"",""siteName"":""Australian National University"",""entityCreated"":""1675124375"",""entityLangcode"":""en"",""entityStatus"":""1"",""entityUid"":""0"",""entityUuid"":""1d8b93a6-1b67-4028-b180-df85a2e98176"",""entityVid"":""170535"",""entityName"":""Anonymous"",""entityType"":""node"",""entityBundle"":""panel"",""entityId"":""739"",""entityTitle"":""Referencing and Academic Integrity"",""entityTaxonomy"":{""workbench_access_group"":{""1405"":""Scholarly Information Services""}},""userUid"":0})",13,paragraph
C00021,anu_academic_integrity,academic,""",""dateISO"":""Please enter a valid date (ISO)."",""number"":""Please enter a valid number",10,spacy_sentence
C00022,anu_academic_integrity,academic,""",""rangelength"":""Please enter a value between {0} and {1} characters long",10,spacy_sentence
C00023,anu_academic_integrity,academic,""",""range"":""Please enter a value between {0} and {1}."",""max"":""Please enter a value less than or equal to {0}."",""min"":""Please enter a value greater than or equal to {0}."",""step"":""Please enter a multiple of {0}.""}},""dataLayer"":{""defaultLang"":""en"",""languages"":{""en"":{""id"":""en"",""name"":""English"",""direction"":""ltr"",""weight"":0}}},""pois"":[],""user"":{""uid"":0,""permissionsHash"":""eaf0baa9d02f691502ec7f3906593e0c1416fc9246cdaa37fd8902808291a99c""}}",31,spacy_sentence
C00024,classroom_conduct_policy,academic,"Respectful Conduct Students must treat all members of the learning community with respect. Disruptive, abusive, or threatening behaviour in class will result in removal from the session and formal disciplinary action",31,numbered_clause
C00025,classroom_conduct_policy,academic,Recording Policy Recording of lectures or seminars without explicit instructor permission is prohibited. Unauthorised recordings that are shared publicly constitute a serious breach of privacy and intellectual property rights,29,numbered_clause
C00026,classroom_conduct_policy,academic,Technology Use Mobile phones must be silenced during lectures. Use of laptops or tablets is permitted for academic purposes only. Repeated misuse of technology after warning may result in prohibition from device use during class,35,numbered_clause
C00027,classroom_conduct_policy,academic,Attendance Attendance at all scheduled teaching sessions is expected. Students with attendance below the required threshold may be barred from assessments or referred to the academic support team,28,numbered_clause
