clause_id,source_doc,domain,raw_text,word_count,pattern_label,clean_text,token_count
C00001,academic_freedom_policy,academic,"Scope of Academic Freedom Academic staff and students have the right to question and test received wisdom, put forward new ideas, and express controversial or unpopular opinions within the law. This right is protected provided it does not constitute harassment, incitement, or unlawful discrimination",44,numbered_clause,scope academic freedom academic staff student right question test receive wisdom forward new idea express controversial unpopular opinion law right protect provide not constitute harassment incitement unlawful discrimination,28
C00002,academic_freedom_policy,academic,External Speakers Invitations to external speakers must be submitted to the university for approval at least 14 days before the event. Events featuring speakers who may express views that risk public order or constitute hate speech require enhanced risk assessment. Unauthorized events may be cancelled without notice,47,numbered_clause,external speaker invitation external speaker must submit university approval 14 day event event feature speaker may express view risk public order constitute hate speech require enhanced risk assessment unauthorized event may cancel without notice,34
C00003,academic_freedom_policy,academic,"Protest and Demonstration Peaceful protest on university premises is permitted within designated areas and requires advance notification to security. Protests that disrupt teaching, research, or administrative activities will be dispersed and participants may face disciplinary action",36,numbered_clause,protest demonstration peaceful protest university premise permit designate area require advance notification security protest disrupt teach research administrative activity will disperse participant may face disciplinary action,26
C00004,academic_freedom_policy,academic,"Social Media and Public Comment Staff and students may comment publicly on matters of academic and public interest. However, public statements that misrepresent the university's position, disclose confidential information, or constitute harassment are not protected by academic freedom principles",39,numbered_clause,social medium public comment staff student may comment publicly matter academic public interest public statement misrepresent university position disclose confidential information constitute harassment not protect academic freedom principle,28
C00005,academic_freedom_policy,academic,Retaliation Retaliation against any member of the university community for exercising legitimate academic freedom or freedom of expression is prohibited and constitutes misconduct,23,numbered_clause,retaliation retaliation member university community exercise legitimate academic freedom freedom expression prohibited constitute misconduct,14
C00006,academic_misconduct_procedures,academic,"Initiation of Investigation An academic misconduct investigation is initiated upon receipt of a formal report from a faculty member, invigilator, or another student. All reports must be submitted in writing within 10 working days of the alleged incident. Late reports require justification and may not be accepted",47,numbered_clause,initiation investigation academic misconduct investigation initiate receipt formal report faculty member invigilator student report must submit writing 10 working day alleged incident late report require justification may not accept,29
C00007,academic_misconduct_procedures,academic,Notification The accused student will be notified in writing within 5 working days of the investigation being opened. Failure to respond to notification within 10 working days will result in the investigation proceeding in the student's absence,37,numbered_clause,notification accuse student will notify write work day investigation open failure respond notification 10 work day will result investigation proceed student absence,22
C00008,academic_misconduct_procedures,academic,"Evidence Gathering The investigating officer will gather all relevant evidence including submitted work, examination scripts, digital logs, and witness statements. Destruction or tampering with evidence constitutes a further act of misconduct and may result in enhanced penalties",37,numbered_clause,evidence gather investigate officer will gather relevant evidence include submit work examination script digital log witness statement destruction tamper evidence constitute act misconduct may result enhanced penalty,27
C00009,academic_misconduct_procedures,academic,"Hearing A formal hearing will be convened within 20 working days. The student has the right to attend, present their case, and be accompanied by a student union representative. Refusal to attend without valid reason is treated as an admission",40,numbered_clause,hear formal hearing will convene 20 working day student right attend present case accompany student union representative refusal attend without valid reason treat admission,24
C00010,anu_academic_integrity,academic,ANU is a world-leading university in Australia s capital. Excellence is embedded in our approach to research and education,19,paragraph,anu world lead university australia capital excellence embed approach research education,11
C00011,anu_academic_integrity,academic,Your donation will make a real difference to our community of researchers and students,14,paragraph,donation will real difference community researcher student,7
C00012,anu_academic_integrity,academic,ANU graduates become lifelong members of our community. See what&#039;s on offer,12,paragraph,anu graduate lifelong member community 039 offer,7
C00013,anu_academic_integrity,academic,"ANU has a huge variety of support services, programs and activities to enhance your student experience",16,paragraph,anu huge variety support service program activity enhance student experience,10
C00014,anu_academic_integrity,academic,Academic integrity is a core part of our culture as a community of scholars,14,spacy_sentence,academic integrity core culture community scholar,6
C00015,anu_academic_integrity,academic,This means that all members of the community commit to honest and responsible scholarly practice and to upholding these values with respect and fairness,24,spacy_sentence,mean member community commit honest responsible scholarly practice uphold value respect fairness,12
C00016,anu_academic_integrity,academic,It is imperative that you understand the academic integrity rules that,11,paragraph,imperative understand academic integrity rule,5
C00017,anu_academic_integrity,academic,Using the work of others in your assignments is a required practice in the,14,paragraph,work assignment required practice,4
C00018,anu_academic_integrity,academic,The purpose of referencing is to show where the information you use comes from,14,paragraph,purpose referencing information use come,5
C00019,anu_academic_integrity,academic,Turnitin is an online text matching tool accessed through Canvas designed to,12,paragraph,turnitin online text matching tool access canvas design,8
C00021,anu_academic_integrity,academic,""",""dateISO"":""Please enter a valid date (ISO)."",""number"":""Please enter a valid number",10,spacy_sentence,dateiso enter valid date iso number enter valid number,9
C00022,anu_academic_integrity,academic,""",""rangelength"":""Please enter a value between {0} and {1} characters long",10,spacy_sentence,rangelength enter value character long,5
C00023,anu_academic_integrity,academic,""",""range"":""Please enter a value between {0} and {1}."",""max"":""Please enter a value less than or equal to {0}."",""min"":""Please enter a value greater than or equal to {0}."",""step"":""Please enter a multiple of {0}.""}},""dataLayer"":{""defaultLang"":""en"",""languages"":{""en"":{""id"":""en"",""name"":""English"",""direction"":""ltr"",""weight"":0}}},""pois"":[],""user"":{""uid"":0,""permissionsHash"":""eaf0baa9d02f691502ec7f3906593e0c1416fc9246cdaa37fd8902808291a99c""}}",31,spacy_sentence,range enter value max enter value equal min enter value great equal step enter multiple datalayer defaultlang en languages en en english direction ltr weight pois user uid permissionshash eaf0baa9d02f691502ec7f3906593e0c1416fc9246cdaa37fd8902808291a99c,30
C00024,classroom_conduct_policy,academic,"Respectful Conduct Students must treat all members of the learning community with respect. Disruptive, abusive, or threatening behaviour in class will result in removal from the session and formal disciplinary action",31,numbered_clause,respectful conduct student must treat member learn community respect disruptive abusive threaten behaviour class will result removal session formal disciplinary action,21
C00025,classroom_conduct_policy,academic,Recording Policy Recording of lectures or seminars without explicit instructor permission is prohibited. Unauthorised recordings that are shared publicly constitute a serious breach of privacy and intellectual property rights,29,numbered_clause,record policy recording lecture seminar without explicit instructor permission prohibited unauthorised recording share publicly constitute breach privacy intellectual property right,20
C00026,classroom_conduct_policy,academic,Technology Use Mobile phones must be silenced during lectures. Use of laptops or tablets is permitted for academic purposes only. Repeated misuse of technology after warning may result in prohibition from device use during class,35,numbered_clause,technology use mobile phone must silence lecture use laptop tablet permit academic purpose only repeat misuse technology warning may result prohibition device use class,24
C00027,classroom_conduct_policy,academic,Attendance Attendance at all scheduled teaching sessions is expected. Students with attendance below the required threshold may be barred from assessments or referred to the academic support team,28,numbered_clause,attendance attendance schedule teaching session expect student attendance required threshold may bar assessment refer academic support team,17
C00028,classroom_conduct_policy,academic,Academic Accommodations Students requiring reasonable adjustments must register with the Disability Services Office. Adjustments cannot be applied retroactively to completed assessments under any circumstances,24,numbered_clause,academic accommodation student require reasonable adjustment must register disability service office adjustment not apply retroactively complete assessment circumstance,18
C00029,columbia_integrity,academic,"All scholarship teaching, research, and student learning is the product of intellectual exchange",13,spacy_sentence,scholarship teaching research student learning product intellectual exchange,8
C00030,columbia_integrity,academic,"Whether this exchange takes place in books and journal articles, in laboratories, in the design of experiments and the analysis of data, in the classroom, or in students written work, it is these joint undertakings that create Columbia s intellectual community at Columbia College",44,spacy_sentence,exchange take place book journal article laboratory design experiment analysis datum classroom student write work joint undertaking create columbia intellectual community columbia college,23
C00031,columbia_integrity,academic,"The value of our collective inquiry relies upon trust and honesty for our individual discoveries are dependent upon the discoveries of our peers and predecessors, here at Columbia and elsewhere",30,spacy_sentence,value collective inquiry rely trust honesty individual discovery dependent discovery peer predecessor columbia,13
C00032,columbia_integrity,academic,And all intellectual work must be evaluated the work of students is evaluated by faculty; the work of faculty is evaluated through peer-review,23,spacy_sentence,intellectual work must evaluate work student evaluate faculty work faculty evaluate peer review,13
C00033,columbia_integrity,academic,"We must, therefore, be able to trust that others are honest in their work and others must be able to trust that we are honest in ours",27,spacy_sentence,must able trust honest work must able trust honest,9
C00034,columbia_integrity,academic,"The Columbia College Student Council, on behalf of the whole student body, has resolved that maintaining academic integrity is the preserve of all members of our intellectual community including and especially students",32,paragraph,columbia college student council behalf student body resolve maintain academic integrity preserve member intellectual community include especially student,18
C00035,columbia_integrity,academic,"As a consequence, all Columbia College students make the following pledge",11,paragraph,consequence columbia college student follow pledge,6
C00036,columbia_integrity,academic,"In addition, all Columbia College students are committed to the following honor code",13,paragraph,addition columbia college student commit follow honor code,8
C00037,columbia_integrity,academic,"I affirm that I will not plagiarize, use unauthorized materials, or give or receive illegitimate help on assignments, papers, or examinations",21,spacy_sentence,affirm will not plagiarize use unauthorized material receive illegitimate help assignment paper examination,13
C00038,columbia_integrity,academic,I will also uphold equity and honesty in the evaluation of my work and the work of others,18,spacy_sentence,will uphold equity honesty evaluation work work,7
C00039,columbia_integrity,academic,I do so to sustain a community built around this Code of Honor,13,spacy_sentence,sustain community build code honor,5
C00040,columbia_integrity,academic,"For more information on the ways that College and SEAS students are introduced to, and trained on, matters of academic integrity, visit the Academic Integrity website for undergraduates",28,paragraph,information way college sea student introduce train matter academic integrity visit academic integrity website undergraduate,15
C00041,columbia_integrity,academic,The intellectual venture in which we are all engaged requires of faculty and students alike the highest level of personal and academic integrity,23,spacy_sentence,intellectual venture engage require faculty student alike high level personal academic integrity,12
C00042,columbia_integrity,academic,"As members of an academic community, each one of us bears the responsibility to participate in scholarly discourse and research in a manner characterized by intellectual honesty and scholarly integrity",30,spacy_sentence,member academic community bear responsibility participate scholarly discourse research manner characterize intellectual honesty scholarly integrity,15
C00043,columbia_integrity,academic,"Scholarship, by its very nature, is an iterative process, with ideas and insights building one upon the other",18,spacy_sentence,scholarship nature iterative process idea insight build,7
