clause_id,source_doc,domain,raw_text,word_count,pattern_label
C000001,academic_freedom_policy,academic,"Scope of Academic Freedom Academic staff and students have the right to question and test received wisdom, put forward new ideas, and express controversial or unpopular opinions within the law. This right is protected provided it does not constitute harassment, incitement, or unlawful discrimination",44,numbered_clause
C000002,academic_freedom_policy,academic,External Speakers Invitations to external speakers must be submitted to the university for approval at least 14 days before the event. Events featuring speakers who may express views that risk public order or constitute hate speech require enhanced risk assessment. Unauthorized events may be cancelled without notice,47,numbered_clause
C000003,academic_freedom_policy,academic,"Protest and Demonstration Peaceful protest on university premises is permitted within designated areas and requires advance notification to security. Protests that disrupt teaching, research, or administrative activities will be dispersed and participants may face disciplinary action",36,numbered_clause
C000004,academic_freedom_policy,academic,"Social Media and Public Comment Staff and students may comment publicly on matters of academic and public interest. However, public statements that misrepresent the university's position, disclose confidential information, or constitute harassment are not protected by academic freedom principles",39,numbered_clause
C000005,academic_freedom_policy,academic,Retaliation Retaliation against any member of the university community for exercising legitimate academic freedom or freedom of expression is prohibited and constitutes misconduct,23,numbered_clause
C000006,academic_misconduct_procedures,academic,"Initiation of Investigation An academic misconduct investigation is initiated upon receipt of a formal report from a faculty member, invigilator, or another student. All reports must be submitted in writing within 10 working days of the alleged incident. Late reports require justification and may not be accepted",47,numbered_clause
C000007,academic_misconduct_procedures,academic,Notification The accused student will be notified in writing within 5 working days of the investigation being opened. Failure to respond to notification within 10 working days will result in the investigation proceeding in the student's absence,37,numbered_clause
C000008,academic_misconduct_procedures,academic,"Evidence Gathering The investigating officer will gather all relevant evidence including submitted work, examination scripts, digital logs, and witness statements. Destruction or tampering with evidence constitutes a further act of misconduct and may result in enhanced penalties",37,numbered_clause
C000009,academic_misconduct_procedures,academic,"Hearing A formal hearing will be convened within 20 working days. The student has the right to attend, present their case, and be accompanied by a student union representative. Refusal to attend without valid reason is treated as an admission",40,numbered_clause
C000010,academic_misconduct_procedures,academic,Penalties Penalties range from a formal written warning to expulsion depending on severity:: First minor offence: written warning and compulsory academic integrity training,23,semi_clause_bullet
C000011,academic_misconduct_procedures,academic,Penalties Penalties range from a formal written warning to expulsion depending on severity:: Serious or repeat offence: failure of module or course,22,semi_clause_bullet
C000012,academic_misconduct_procedures,academic,"Penalties Penalties range from a formal written warning to expulsion depending on severity:: Gross misconduct (contract cheating, impersonation): expulsion from the university",22,semi_clause_bullet
C000013,anu_academic_integrity,academic,@media only screen and (min-width: 320px) and (max-width: 768px) {,10,paragraph
C000014,anu_academic_integrity,academic,/* Overriding styles for eventscustom class within the media query */,11,paragraph
C000015,anu_academic_integrity,academic,ANU is a world-leading university in Australia s capital. Excellence is embedded in our approach to research and education,19,paragraph
C000016,anu_academic_integrity,academic,Your donation will make a real difference to our community of researchers and students,14,paragraph
C000017,anu_academic_integrity,academic,ANU graduates become lifelong members of our community. See what&#039;s on offer,12,paragraph
C000018,anu_academic_integrity,academic,"ANU has a huge variety of support services, programs and activities to enhance your student experience",16,paragraph
C000019,anu_academic_integrity,academic,Academic integrity is a core part of our culture as a community of scholars,14,spacy_sentence
C000020,anu_academic_integrity,academic,This means that all members of the community commit to honest and responsible scholarly practice and to upholding these values with respect and fairness,24,spacy_sentence
C000021,anu_academic_integrity,academic,"As scholars, we develop our ideas by critically engaging with the work of",13,paragraph
C000022,anu_academic_integrity,academic,It is imperative that you understand the academic integrity rules that,11,paragraph
C000023,anu_academic_integrity,academic,Using the work of others in your assignments is a required practice in the,14,paragraph
C000024,anu_academic_integrity,academic,The purpose of referencing is to show where the information you use comes from,14,paragraph
C000025,anu_academic_integrity,academic,Turnitin is an online text matching tool accessed through Canvas designed to,12,paragraph
C000026,anu_academic_integrity,academic,"window.dataLayer = window.dataLayer || []; window.dataLayer.push({""drupalLanguage"":""en"",""drupalCountry"":""AU"",""siteName"":""Australian National University"",""entityCreated"":""1675124375"",""entityLangcode"":""en"",""entityStatus"":""1"",""entityUid"":""0"",""entityUuid"":""1d8b93a6-1b67-4028-b180-df85a2e98176"",""entityVid"":""170535"",""entityName"":""Anonymous"",""entityType"":""node"",""entityBundle"":""panel"",""entityId"":""739"",""entityTitle"":""Referencing and Academic Integrity"",""entityTaxonomy"":{""workbench_access_group"":{""1405"":""Scholarly Information Services""}},""userUid"":0})",13,paragraph
C000027,anu_academic_integrity,academic,""",""dateISO"":""Please enter a valid date (ISO)."",""number"":""Please enter a valid number",10,spacy_sentence
C000028,anu_academic_integrity,academic,""",""rangelength"":""Please enter a value between {0} and {1} characters long",10,spacy_sentence
C000029,anu_academic_integrity,academic,""",""range"":""Please enter a value between {0} and {1}."",""max"":""Please enter a value less than or equal to {0}."",""min"":""Please enter a value greater than or equal to {0}."",""step"":""Please enter a multiple of {0}.""}},""dataLayer"":{""defaultLang"":""en"",""languages"":{""en"":{""id"":""en"",""name"":""English"",""direction"":""ltr"",""weight"":0}}},""pois"":[],""user"":{""uid"":0,""permissionsHash"":""eaf0baa9d02f691502ec7f3906593e0c1416fc9246cdaa37fd8902808291a99c""}}",31,spacy_sentence
C000030,classroom_conduct_policy,academic,"Respectful Conduct Students must treat all members of the learning community with respect. Disruptive, abusive, or threatening behaviour in class will result in removal from the session and formal disciplinary action",31,numbered_clause
C000031,classroom_conduct_policy,academic,Recording Policy Recording of lectures or seminars without explicit instructor permission is prohibited. Unauthorised recordings that are shared publicly constitute a serious breach of privacy and intellectual property rights,29,numbered_clause
C000032,classroom_conduct_policy,academic,Technology Use Mobile phones must be silenced during lectures. Use of laptops or tablets is permitted for academic purposes only. Repeated misuse of technology after warning may result in prohibition from device use during class,35,numbered_clause
C000033,classroom_conduct_policy,academic,Attendance Attendance at all scheduled teaching sessions is expected. Students with attendance below the required threshold may be barred from assessments or referred to the academic support team,28,numbered_clause
C000034,classroom_conduct_policy,academic,Academic Accommodations Students requiring reasonable adjustments must register with the Disability Services Office. Adjustments cannot be applied retroactively to completed assessments under any circumstances,24,numbered_clause
C000035,columbia_integrity,academic,"All scholarship teaching, research, and student learning is the product of intellectual exchange",13,spacy_sentence
C000036,columbia_integrity,academic,"Whether this exchange takes place in books and journal articles, in laboratories, in the design of experiments and the analysis of data, in the classroom, or in students written work, it is these joint undertakings that create Columbia s intellectual community at Columbia College",44,spacy_sentence
C000037,columbia_integrity,academic,"The value of our collective inquiry relies upon trust and honesty for our individual discoveries are dependent upon the discoveries of our peers and predecessors, here at Columbia and elsewhere",30,spacy_sentence
C000038,columbia_integrity,academic,And all intellectual work must be evaluated the work of students is evaluated by faculty; the work of faculty is evaluated through peer-review,23,spacy_sentence
C000039,columbia_integrity,academic,"We must, therefore, be able to trust that others are honest in their work and others must be able to trust that we are honest in ours",27,spacy_sentence
C000040,columbia_integrity,academic,"The Columbia College Student Council, on behalf of the whole student body, has resolved that maintaining academic integrity is the preserve of all members of our intellectual community including and especially students",32,paragraph
C000041,columbia_integrity,academic,"As a consequence, all Columbia College students make the following pledge",11,paragraph
C000042,columbia_integrity,academic,"We, the undergraduate students of Columbia University, hereby pledge to value the integrity of our ideas and the ideas of others by honestly presenting our work, respecting authorship, and striving not simply for answers but for understanding in the pursuit of our common scholastic goals",45,spacy_sentence
C000043,columbia_integrity,academic,"In this way, we seek to build an academic community governed by our collective efforts, diligence, and Code of Honor",20,spacy_sentence
C000044,columbia_integrity,academic,"In addition, all Columbia College students are committed to the following honor code",13,paragraph
C000045,columbia_integrity,academic,"I affirm that I will not plagiarize, use unauthorized materials, or give or receive illegitimate help on assignments, papers, or examinations",21,spacy_sentence
C000046,columbia_integrity,academic,I will also uphold equity and honesty in the evaluation of my work and the work of others,18,spacy_sentence
C000047,columbia_integrity,academic,I do so to sustain a community built around this Code of Honor,13,spacy_sentence
C000048,columbia_integrity,academic,"For more information on Academic Initiatives and the Academic Affairs Student Representative, visit the",14,paragraph
C000049,columbia_integrity,academic,"For more information on the ways that College and SEAS students are introduced to, and trained on, matters of academic integrity, visit the Academic Integrity website for undergraduates",28,paragraph
C000050,columbia_integrity,academic,The intellectual venture in which we are all engaged requires of faculty and students alike the highest level of personal and academic integrity,23,spacy_sentence
C000051,columbia_integrity,academic,"As members of an academic community, each one of us bears the responsibility to participate in scholarly discourse and research in a manner characterized by intellectual honesty and scholarly integrity",30,spacy_sentence
C000052,columbia_integrity,academic,"Scholarship, by its very nature, is an iterative process, with ideas and insights building one upon the other",18,spacy_sentence
C000053,columbia_integrity,academic,"Collaborative scholarship requires the study of other scholars' work, the free discussion of such work, and the explicit acknowledgement of those ideas in any work that inform our own",29,spacy_sentence
C000054,columbia_integrity,academic,"This exchange of ideas relies upon a mutual trust that sources, opinions, facts, and insights will be properly noted and carefully credited",22,spacy_sentence
C000055,columbia_integrity,academic,"In practical terms, this means that, as students, you must be responsible for the full citations of others' ideas in all of your research papers and projects; you must be scrupulously honest when taking your examinations; you must always submit your own work and not that of another student, scholar, or internet agent",53,spacy_sentence
C000056,columbia_integrity,academic,Any breach of this intellectual responsibility is a breach of faith with the rest of our academic community,18,spacy_sentence
